################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 8601-9102
# RA Dec (J2000): 16 41 37.3  +40 09 50
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10083.9  
# Integration time [seconds]: 698.6   
# Date(s) of observations (UT): 2017-10-13 
####################################################################################
# ASCII Table
# Generated by D. V. Stark  Thu May 16 21:12:05 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       7633.0853 -0.000652867    -0.615860
       8795.7255   0.00255098    -0.625621
       8800.8442   0.00115898    -0.627093
       8805.9630  -0.00134996    -0.629682
       8811.0820  -0.00255636    -0.630968
       8816.2012 -0.000522723    -0.629012
       8821.3205 -5.46818e-07    -0.628568
       8826.4400  -0.00149427    -0.630138
       8831.5597 -0.000601438    -0.629321
       8836.6796   0.00314859    -0.625646
       8841.7996   0.00434877    -0.624519
       8846.9198   0.00343111    -0.625510
       8852.0402   0.00347849    -0.625535
       8857.1607   0.00294036    -0.626145
       8862.2814   0.00409824    -0.625057
       8867.4023   0.00566356    -0.623562
       8872.5233   0.00374543    -0.625549
       8877.6446  0.000261584    -0.629101
       8882.7660  -0.00122137    -0.630651
       8887.8875 -0.000105709    -0.629601
       8893.0092   0.00111518    -0.628446
       8898.1311  0.000778924    -0.628847
       8903.2532 -0.000550737    -0.630240
       8908.3754  0.000524915    -0.629227
       8913.4978   0.00216332    -0.627650
       8918.6204   0.00288956    -0.626985
       8923.7432   0.00439778    -0.625537
       8928.8661   0.00267408    -0.627320
       8933.9892  -0.00145774    -0.631511
       8939.1124  -0.00202404    -0.632134
       8944.2359   0.00125060    -0.628917
       8949.3594   0.00223199    -0.627991
       8954.4832 -0.000550453    -0.630828
       8959.6072  -0.00200666    -0.632339
       8964.7313  0.000196227    -0.630189
       8969.8555   0.00151211    -0.628926
       8974.9800 -0.000151907    -0.630641
       8980.1046 -0.000961936    -0.631502
       8985.2294 -0.000668768    -0.631258
       8990.3543  -0.00157117    -0.632210
       8995.4795  -0.00382192    -0.634509
       9000.6048  -0.00280372    -0.633538
       9005.7302  0.000325648    -0.630455
       9010.8559 -0.000539938    -0.631366
       9015.9817  -0.00141555    -0.632286
       9021.1077  -0.00108776    -0.632002
       9026.2338  -0.00272478    -0.633682
       9031.3601  -0.00315858    -0.634158
       9036.4866  -0.00158882    -0.632630
       9041.6133 -0.000572143    -0.631653
       9046.7401  -0.00171321    -0.632834
       9051.8671  -0.00259273    -0.633752
       9056.9943  -0.00142995    -0.632628
       9062.1216  -0.00214512    -0.633380
       9067.2491  -0.00499204    -0.636263
       9072.3768  -0.00713817    -0.638445
       9077.5047  -0.00618424    -0.637526
       9082.6327  -0.00410579    -0.635481
       9087.7609  -0.00373779    -0.635146
       9092.8892  -0.00201566    -0.633456
       9098.0178  0.000683126    -0.630789
       9103.1465  0.000542742    -0.630960
       9108.2753  -0.00300877    -0.634542
       9113.4044  -0.00421051    -0.635772
