################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 7958-6103
# RA Dec (J2000): 17 09 00.4  +34 54 16
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10690.9  
# Integration time [seconds]: 817.0   
# Date(s) of observations (UT): 2017-05-31 
####################################################################################
# ASCII Table
# Generated by David V. Stark  Mon Feb 11 19:59:15 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       8230.5892     0.105413 -0.000130658
       9536.5244   0.00171030    0.0112709
       9541.6675  0.000572161    0.0101495
       9546.8108 -0.000629250   0.00896497
       9551.9543 -0.000913045   0.00869804
       9557.0979  0.000537487    0.0101655
       9562.2417   0.00154605    0.0111909
       9567.3856  0.000993619    0.0106554
       9572.5298   0.00110764    0.0107864
       9577.6741  0.000969023    0.0106648
       9582.8186  0.000760952    0.0104738
       9587.9632  0.000511041    0.0102409
       9593.1081  -0.00117150   0.00857552
       9598.2530 -0.000752128   0.00901204
       9603.3982   0.00179792    0.0115793
       9608.5436   0.00169794    0.0114965
       9613.6891  0.000905715    0.0107216
       9618.8347   0.00220271    0.0120359
       9623.9806   0.00287433    0.0127249
       9629.1266   0.00158037    0.0114483
       9634.2728 -0.000110345   0.00977506
       9639.4192 -0.000414018   0.00948887
       9644.5657 -0.000800701   0.00911972
       9649.7124  -0.00176490   0.00817309
       9654.8593  -0.00112256   0.00883304
       9660.0063  -0.00154604   0.00842721
       9665.1536  -0.00241144   0.00757948
       9670.3009  -0.00110546   0.00890319
       9675.4485  -0.00111317   0.00891324
       9680.5962  -0.00134065   0.00870355
       9685.7441  0.000426346    0.0104884
       9690.8922 -1.90851e-05    0.0100608
       9696.0405  -0.00180518   0.00829259
       9701.1889  -0.00134911   0.00876656
       9706.3375  8.41305e-05    0.0102177
       9711.4862  0.000876394    0.0110280
       9716.6352  0.000597517    0.0107671
       9721.7843  0.000327744    0.0105153
       9726.9336  0.000403217    0.0106088
       9732.0830 -6.35296e-06    0.0102172
       9737.2326  0.000154596    0.0103962
       9742.3824   0.00144783    0.0117075
       9747.5324   0.00190513    0.0121828
       9752.6825   0.00160183    0.0118976
       9757.8328   0.00155812    0.0118719
       9762.9833  0.000838851    0.0111707
       9768.1339 -5.50564e-05    0.0102948
       9773.2847 -6.99034e-05    0.0102980
       9778.4357  0.000399390    0.0107853
       9783.5869 -0.000317550    0.0100864
       9788.7382  -0.00234210   0.00807977
       9793.8897  -0.00265384   0.00778597
       9799.0414  -0.00128823   0.00916949
       9804.1932  -0.00106206   0.00941355
       9809.3453 -0.000611408   0.00988205
       9814.4975   0.00105992    0.0115712
       9819.6498  0.000295424    0.0108244
       9824.8023  -0.00191123   0.00863551
       9829.9551 -0.000832360   0.00973204
       9835.1079  0.000816784    0.0113988
       9840.2610  0.000882329    0.0114819
       9845.4142   0.00101884    0.0116359
       9850.5676 -0.000165477    0.0104690
       9855.7211 -0.000671719   0.00998009
       9860.8749   0.00130791    0.0119770
       9866.0288   0.00188335    0.0125696
       9871.1829 -0.000317160    0.0103862
       9876.3371  -0.00115689   0.00956350
       9881.4915  0.000277744    0.0110151
       9886.6461 -0.000169182    0.0105850
       9891.8009  -0.00233556   0.00843531
       9896.9558  -0.00316240   0.00762509
       9902.1109  -0.00202614   0.00877786
       9907.2662 -0.000765137    0.0100553
       9912.4216 -0.000451929    0.0103848
       9917.5773  5.17411e-05    0.0109046
       9922.7331  1.49602e-05    0.0108838
       9927.8890 -0.000157411    0.0107274
       9933.0452 -0.000295145    0.0106054
       9938.2015  -0.00108850   0.00982765
       9943.3579 -0.000504435    0.0104272
       9948.5146  0.000756604    0.0117036
       9953.6714 -0.000260270    0.0107019
       9958.8284  -0.00242372   0.00855345
       9963.9856  -0.00274078   0.00825125
       9969.1429  -0.00225507   0.00875165
       9974.3004  -0.00233460   0.00868665
       9979.4581  -0.00232466   0.00871094
       9984.6160  -0.00215811   0.00889167
       9989.7740  -0.00120962   0.00985415
       9994.9322   0.00135748    0.0124351
       10000.091   0.00292479    0.0140160
       10005.249   0.00143261    0.0125372
       10010.408  0.000268437    0.0113863
       10015.567 -0.000559136    0.0105717
       10020.726  -0.00230503   0.00883864
       10025.885  -0.00143662   0.00971965
       10031.044  0.000830906    0.0119996
