################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 9485-3701
# RA Dec (J2000): 07 58 07.7  +36 49 54
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 11761.6  
# Integration time [seconds]: 1794.1  
# Date(s) of observations (UT): 2017-07-08 
####################################################################################
# ASCII Table
# Generated by David V. Stark  Tue Mar 12 21:13:18 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       9284.3225 -0.000914904    0.0509427
       11570.657 -0.000362469    0.0554109
       11575.868  0.000644403    0.0564110
       11581.080   0.00138068    0.0571400
       11586.291  0.000825303    0.0565770
       11591.503  0.000361339    0.0561049
       11596.714 -0.000292696    0.0554422
       11601.926  -0.00192782    0.0537981
       11607.138  -0.00258993    0.0531264
       11612.351  -0.00146756    0.0542388
       11617.563 -0.000924427    0.0547715
       11622.776  -0.00122155    0.0544635
       11627.988 -0.000765931    0.0549077
       11633.201 -0.000333353    0.0553285
       11638.415 -0.000422533    0.0552270
       11643.628 -0.000310239    0.0553266
       11648.841 -8.88969e-05    0.0555348
       11654.055 -0.000217635    0.0553924
       11659.269  -0.00110063    0.0544953
       11664.483  -0.00137901    0.0542024
       11669.697 -0.000420035    0.0551464
       11674.912 -0.000467008    0.0550840
       11680.126 -0.000939158    0.0545960
       11685.341 -0.000410573    0.0551083
       11690.556 -0.000146084    0.0553560
       11695.771  0.000489281    0.0559742
       11700.986  0.000713411    0.0561808
       11706.201 -0.000407419    0.0550419
       11711.417  -0.00102313    0.0544077
       11716.633 -0.000896533    0.0545155
       11721.849 -0.000294782    0.0550979
       11727.065 -0.000441756    0.0549312
       11732.281  -0.00149123    0.0538616
       11737.498  -0.00116323    0.0541691
       11742.714  0.000414350    0.0557258
       11747.931  0.000767897    0.0560580
       11753.148  0.000680335    0.0559487
       11758.365  0.000846200    0.0560924
       11763.583  0.000149988    0.0553737
       11768.800 -0.000514945    0.0546858
       11774.018 -0.000290114    0.0548874
       11779.236  0.000459914    0.0556138
       11784.454   0.00157830    0.0567081
       11789.672   0.00220233    0.0573078
       11794.890   0.00101763    0.0560983
       11800.109 -0.000651536    0.0544040
       11805.328  -0.00101534    0.0540148
       11810.546 -9.34710e-05    0.0549108
       11815.766  0.000367686    0.0553458
       11820.985 -0.000182656    0.0547690
       11826.204 -0.000550435    0.0543744
       11831.424  -0.00104284    0.0538549
       11836.644  -0.00153257    0.0533377
       11841.864 -0.000552462    0.0542900
       11847.084  0.000829184    0.0556436
       11852.304  0.000838550    0.0556246
       11857.525 -0.000196027    0.0545614
       11862.745 -0.000607892    0.0541206
       11867.966 -0.000302325    0.0543969
